Processes,Time,CPUutil,Throughput,AvgWaiting
1000,0.64,85.81,1567,0.06
2000,1.44,75.73,1386,0.24
3000,2.44,67.00,1231,0.54
4000,3.71,60.13,1077,1.01
5000,5.30,51.92,944,1.75
6000,6.80,48.21,882,2.39
7000,8.48,45.67,825,3.09
8000,10.30,42.86,777,3.96
9000,12.47,39.70,722,5.05
10000,15.06,36.51,664,6.43
11000,18.62,32.73,591,8.52
12000,20.61,32.04,582,9.48
13000,23.64,30.56,550,11.08
14000,27.63,27.94,507,13.48
15000,31.40,26.35,478,15.84
16000,35.02,25.31,457,17.61
17000,40.41,23.34,421,21.24
18000,43.43,22.79,415,22.79
19000,57.83,18.13,329,33.42
20000,54.27,20.30,369,29.12
21000,58.67,19.74,358,32.20
22000,63.65,19.16,346,35.22
23000,68.03,18.66,338,37.97
24000,75.01,17.67,320,42.57
25000,82.76,16.72,302,47.25
26000,88.77,16.18,293,51.11
27000,96.19,15.50,281,56.47
28000,106.15,14.56,264,62.49
29000,113.15,14.14,256,67.17
30000,119.43,13.95,251,71.24
