Processes,Time
1000,0.00
2000,0.00
3000,0.00
4000,0.01
5000,0.01
6000,0.01
7000,0.01
8000,0.02
9000,0.02
10000,0.02
11000,0.02
12000,0.02
13000,0.02
14000,0.03
15000,0.03
16000,0.03
17000,0.03
18000,0.04
19000,0.04
20000,0.05
21000,0.05
22000,0.05
23000,0.05
24000,0.05
25000,0.06
26000,0.06
27000,0.06
28000,0.06
29000,0.06
30000,0.06
31000,0.07
32000,0.06
33000,0.07
34000,0.07
35000,0.08
36000,0.08
37000,0.08
38000,0.10
39000,0.10
40000,0.09
41000,0.10
42000,0.09
43000,0.10
44000,0.11
45000,0.12
46000,0.12
47000,0.11
48000,0.12
49000,0.11
50000,0.12
51000,0.14
52000,0.12
53000,0.14
54000,0.13
55000,0.14
56000,0.13
57000,0.15
58000,0.15
59000,0.16
60000,0.17
61000,0.17
62000,0.17
63000,0.18
64000,0.18
65000,0.18
66000,0.18
67000,0.19
68000,0.17
69000,0.20
70000,0.20
71000,0.21
72000,0.20
73000,0.21
74000,0.22
75000,0.20
76000,0.25
77000,0.21
78000,0.22
79000,0.22
80000,0.23
81000,0.25
82000,0.26
83000,0.25
84000,0.26
85000,0.26
86000,0.26
87000,0.28
88000,0.27
89000,0.33
90000,0.26
91000,0.27
92000,0.28
93000,0.28
94000,0.28
95000,0.29
96000,0.29
97000,0.34
98000,0.30
99000,0.34
100000,0.32
